train_samples,test_samples,method,C,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
5,25,LogReg_Classic,1.0,0.9438270355015582,0.9433188030724086,0.9458058185188705,0.22896849812553255,0.196422329844681,0.1893541877108627,2.408412456512451,21.260595560073853,0,,16
5,1,LogReg_Classic,10.0,0.9452596976338513,0.9447080735004745,0.9526531439558338,0.0841826223344257,0.07366794563996407,0.10954999652468882,2.3442351818084717,1.1129381656646729,0,,17
5,10,LogReg_Classic,10.0,0.9452596976338513,0.9447080735004745,0.94724391282005,0.0841826223344257,0.07366794563996407,0.07210783742338386,2.3442351818084717,8.749329328536987,0,,17
5,25,LogReg_Classic,10.0,0.9452596976338513,0.9447080735004745,0.9469349803964862,0.0841826223344257,0.07366794563996407,0.06826848771082622,2.3442351818084717,21.36296272277832,0,,17
5,1,LogReg_Classic,100.0,0.9431016100812859,0.9436887191932736,0.9497676487866549,0.0597422561114537,0.053069085581640925,0.06930967614366776,2.278074264526367,1.1320157051086426,0,,18
5,10,LogReg_Classic,100.0,0.9431016100812859,0.9436887191932736,0.9449879622023019,0.0597422561114537,0.053069085581640925,0.05075944138248968,2.278074264526367,8.691129207611084,0,,18
5,25,LogReg_Classic,100.0,0.9431016100812859,0.9436887191932736,0.9454244796743695,0.0597422561114537,0.053069085581640925,0.0492124011657457,2.278074264526367,21.466134309768677,0,,18
10,1,LogReg_Classic,0.001,0.7515467650209909,0.7489088582704849,0.7157356395155093,0.6161414478409694,0.5853190415576157,0.812405675531426,4.7957682609558105,1.1440215110778809,0,,19
10,10,LogReg_Classic,0.001,0.7515467650209909,0.7489088582704849,0.75955486995187,0.6161414478409694,0.5853190415576157,0.6160438807297619,4.7957682609558105,8.871609926223755,0,,19
10,25,LogReg_Classic,0.001,0.7515467650209909,0.7489088582704849,0.7608807214959455,0.6161414478409694,0.5853190415576157,0.5924984153889635,4.7957682609558105,22.12592387199402,0,,19
10,1,LogReg_Classic,0.01,0.9132586256888623,0.9119915545454422,0.9186744987386157,0.5792415404460858,0.5484125576905801,0.778657574682288,4.938141107559204,1.143040418624878,0,,20
10,10,LogReg_Classic,0.01,0.9132586256888623,0.9119915545454422,0.9175200012231988,0.5792415404460858,0.5484125576905801,0.5800468062456319,4.938141107559204,9.08016586303711,0,,20
10,25,LogReg_Classic,0.01,0.9132586256888623,0.9119915545454422,0.918394912066911,0.5792415404460858,0.5484125576905801,0.556324073242687,4.938141107559204,22.030669689178467,0,,20
10,1,LogReg_Classic,0.1,0.9392308991864168,0.9388259683164891,0.9465125560122165,0.3974361259087343,0.3720996590252605,0.5796956333145485,4.978249788284302,1.1340172290802002,0,,21
10,10,LogReg_Classic,0.1,0.9392308991864168,0.9388259683164891,0.9419449049765733,0.3974361259087343,0.3720996590252605,0.3995181399359369,4.978249788284302,8.771349668502808,0,,21
10,25,LogReg_Classic,0.1,0.9392308991864168,0.9388259683164891,0.942172215291464,0.3974361259087343,0.3720996590252605,0.37741008639380125,4.978249788284302,21.70176100730896,0,,21
10,1,LogReg_Classic,1.0,0.9420621677359355,0.9416789699403646,0.9483662697953729,0.2167838680479585,0.20429443584956755,0.33778579640678147,4.723572254180908,1.1330204010009766,0,,22
10,10,LogReg_Classic,1.0,0.9420621677359355,0.9416789699403646,0.9431100965100322,0.2167838680479585,0.20429443584956755,0.2133830626001701,4.723572254180908,8.880640029907227,0,,22
10,25,LogReg_Classic,1.0,0.9420621677359355,0.9416789699403646,0.9432392942421886,0.2167838680479585,0.20429443584956755,0.1992310884383949,4.723572254180908,21.651660919189453,0,,22
10,1,LogReg_Classic,10.0,0.9423315586276164,0.9424471746686367,0.947054498898937,0.10305856329279235,0.09790399886894131,0.14815984450161016,4.376649618148804,1.1891674995422363,0,,23
10,10,LogReg_Classic,10.0,0.9423315586276164,0.9424471746686367,0.9423496095251271,0.10305856329279235,0.09790399886894131,0.0978301620542969,4.376649618148804,8.848549604415894,0,,23
10,25,LogReg_Classic,10.0,0.9423315586276164,0.9424471746686367,0.9424983112851216,0.10305856329279235,0.09790399886894131,0.0926645098749373,4.376649618148804,21.663670778274536,0,,23
10,1,LogReg_Classic,100.0,0.9428188417959663,0.9432338360176479,0.9482697907922959,0.05651561995360893,0.05359500318356979,0.07005526955282902,4.366637468338013,1.1420445442199707,0,,24
10,10,LogReg_Classic,100.0,0.9428188417959663,0.9432338360176479,0.9435881599004399,0.05651561995360893,0.05359500318356979,0.05135175652101663,4.366637468338013,8.916764497756958,0,,24
10,25,LogReg_Classic,100.0,0.9428188417959663,0.9432338360176479,0.9441891200090475,0.05651561995360893,0.05359500318356979,0.04977634347497137,4.366637468338013,21.774963855743408,0,,24
15,1,LogReg_Classic,0.001,0.9094760877589879,0.9060726403963546,0.9083638420744646,0.6003175689028938,0.5832056386050742,0.8100308191553789,7.019654989242554,1.113962173461914,0,,25
15,10,LogReg_Classic,0.001,0.9094760877589879,0.9060726403963546,0.9181577596473721,0.6003175689028938,0.5832056386050742,0.6132862029448433,7.019654989242554,9.039061546325684,0,,25
15,25,LogReg_Classic,0.001,0.9094760877589879,0.9060726403963546,0.9192309052296737,0.6003175689028938,0.5832056386050742,0.5896835048873544,7.019654989242554,22.040676593780518,0,,25
15,1,LogReg_Classic,0.01,0.9387425115925242,0.9382911104935537,0.9503198980357218,0.544002375416405,0.5263142564090122,0.7585977033129154,7.206207990646362,1.0828802585601807,0,,26
15,10,LogReg_Classic,0.01,0.9387425115925242,0.9382911104935537,0.9448540726664267,0.544002375416405,0.5263142564090122,0.5584587775534363,7.206207990646362,8.886656284332275,0,,26
